complaint_text,category
Faculty uses confusing handwriting which makes board notes unreadable,Faculty
The instructor does not clarify exam format until very late,Faculty
Teacher frequently reschedules classes causing timetable conflicts,Faculty
Faculty fails to provide sample questions for exam preparation,Faculty
The lecturer rushes through important topics near semester end,Faculty
Teacher does not explain mistakes made in quizzes or tests,Faculty
Faculty lacks coordination with syllabus objectives outlined by department,Faculty
The instructor rarely updates course announcements on the portal,Faculty
Teacher does not encourage critical thinking or analytical discussions,Faculty
Faculty seems biased during oral assessments and presentations,Faculty
The lecturer provides minimal explanation for complex mathematical problems,Faculty
Teacher often uses irrelevant personal stories during lecture time,Faculty
Faculty does not address student concerns raised during class,Faculty
The instructor changes assignment deadlines without sufficient notice,Faculty
Teacher does not explain grading deductions for assignments clearly,Faculty
Faculty avoids holding revision sessions before major exams,Faculty
The lecturer does not provide recommended study resources,Faculty
Teacher does not align assessments with taught material,Faculty
Faculty fails to manage classroom discipline effectively,Faculty
The instructor ignores repeated requests for additional practice problems,Faculty
Teacher uses outdated teaching methods that reduce learning effectiveness,Faculty
Faculty does not communicate learning objectives clearly,Faculty
The lecturer fails to explain project requirements in detail,Faculty
Teacher does not adjust teaching pace based on student feedback,Faculty
Faculty rarely acknowledges student efforts or improvements,Faculty
The instructor does not provide timely announcements about schedule changes,Faculty
Teacher avoids discussing exam marking schemes with students,Faculty
Faculty lacks clarity when answering student questions,Faculty
The lecturer skips important chapters without justification,Faculty
Teacher does not encourage collaborative learning activities,Faculty
Faculty often ends classes earlier than scheduled,Faculty
The instructor fails to connect theory with practical applications,Faculty
Teacher does not provide guidance for final exam preparation,Faculty
Faculty appears unprepared for lectures frequently,Faculty
The lecturer does not respond to academic concerns professionally,Faculty
Teacher provides insufficient explanation during problem solving sessions,Faculty
Faculty ignores university teaching quality guidelines,Faculty
The instructor discourages asking questions during lectures,Faculty
Teacher does not provide clear instructions for group projects,Faculty
Faculty rarely updates students about course progress,Faculty
The lecturer lacks clarity when explaining complex diagrams,Faculty
Teacher does not allocate time for student questions,Faculty
Faculty provides inconsistent information across different classes,Faculty
The instructor fails to motivate students throughout the course,Faculty
Teacher does not explain course expectations at semester start,Faculty
Faculty uses confusing terminology without proper explanation,Faculty
The lecturer does not manage class time effectively,Faculty
Teacher avoids discussing mistakes made in midterm exams,Faculty
Faculty does not provide clear syllabus outline initially,Faculty
The instructor shows lack of professionalism during lectures,Faculty
Teacher does not offer guidance for academic improvement,Faculty
Many computers in the lab are outdated and cannot run required software properly,Lab
Lab internet connection is very slow and disrupts practical work sessions,Lab
Several systems frequently crash causing loss of student work,Lab
Lab assistants are often unavailable during scheduled lab hours,Lab
Required software is missing on multiple lab computers,Lab
Lab environment is noisy which makes it difficult to concentrate on tasks,Lab
Air conditioning in the lab does not work properly during long sessions,Lab
Lab timing conflicts with other classes making attendance difficult,Lab
Many lab computers have faulty keyboards and mouse devices,Lab
Lab assistants do not provide proper guidance during experiments,Lab
Insufficient number of computers causes students to share systems,Lab
Lab instructions are unclear and not explained before practical sessions,Lab
Internet access is restricted and blocks required academic websites,Lab
Lab equipment is poorly maintained and frequently malfunctions,Lab
Power outages during lab sessions result in incomplete experiments,Lab
Lab software versions are outdated compared to course requirements,Lab
Lab assistants show unprofessional behavior towards students,Lab
Lab seating arrangement is uncomfortable for extended practical work,Lab
Printing facilities in the lab rarely function when needed,Lab
Lab sessions start late due to technical setup issues,Lab
Insufficient lab hours are allocated for complex practical assignments,Lab
Lab computers take too long to boot wasting session time,Lab
Required programming tools are not installed on all systems,Lab
Lab environment lacks proper lighting for detailed work,Lab
Lab assistants fail to explain errors during practical evaluations,Lab
Network connectivity drops frequently during online lab activities,Lab
Lab rules are not clearly communicated to students,Lab
Many lab chairs are broken and unsafe to use,Lab
Lab assistants are not knowledgeable about assigned experiments,Lab
Lab schedule is changed frequently without prior notice,Lab
Lab computers have virus issues affecting performance,Lab
Lab air ventilation is poor causing discomfort during sessions,Lab
Insufficient lab resources limit hands on learning opportunities,Lab
Lab assistants do not arrive on time for sessions,Lab
Lab computers lack required memory for heavy applications,Lab
Lab practical manuals are outdated and incomplete,Lab
Internet speed is inconsistent across different lab systems,Lab
Lab sessions are overcrowded reducing effective learning,Lab
Lab assistants do not monitor student progress properly,Lab
Lab equipment setup takes too long reducing practice time,Lab
Lab computers freeze during simulations frequently,Lab
Lab noise from nearby rooms disrupts concentration,Lab
Lab software licenses expire causing access issues,Lab
Lab assistants do not provide individual attention,Lab
Lab environment is too cold due to malfunctioning air conditioning,Lab
Lab instructions differ from what is taught in theory classes,Lab
Lab computers are not updated with security patches,Lab
Lab sessions are cancelled without rescheduling alternatives,Lab
Lab assistants lack communication skills when guiding students,Lab
Lab workstations are not cleaned regularly,Lab
Lab internet firewall blocks required development tools,Lab
Lab equipment shortage delays practical completion,Lab
Lab assistants fail to check attendance properly,Lab
Lab computers have display issues affecting visibility,Lab
Lab sessions overlap with exams causing stress,Lab
Lab manuals are not provided before sessions,Lab
Lab systems log out automatically causing data loss,Lab
Lab assistants do not explain grading criteria,Lab
Lab equipment calibration is inaccurate,Lab
Lab computers lack required peripherals,Lab
Lab sessions are too short for assigned tasks,Lab
Lab environment feels unsafe due to exposed wiring,Lab
Lab assistants do not communicate experiment objectives clearly,Lab
Lab computers overheat during extended use,Lab
Lab network access requires frequent reauthentication,Lab
Lab seating is insufficient for enrolled students,Lab
Lab assistants are not trained for new software tools,Lab
Lab computers have inconsistent configurations,Lab
Lab sessions do not align with course syllabus,Lab
Lab internet disconnects during online assessments,Lab
Lab assistants show favoritism during evaluations,Lab
Lab equipment storage is disorganized,Lab
Lab computers do not support required operating systems,Lab
Lab sessions are scheduled during lunch breaks,Lab
Lab assistants do not provide troubleshooting support,Lab
Lab workspaces are too cramped,Lab
Lab computers have audio issues affecting multimedia tasks,Lab
Lab internet usage policies are unclear,Lab
Lab assistants are frequently replaced causing confusion,Lab
Lab software crashes during demonstrations,Lab
Lab systems are not restarted regularly,Lab
Lab environment lacks proper safety guidelines,Lab
Lab assistants do not explain experiment results,Lab
Lab computers have slow processing speeds,Lab
Lab sessions lack proper supervision,Lab
Lab resources are insufficient for project work,Lab
Exam papers include topics that were not covered in lectures,Exams
Exam duration is too short for attempting all questions properly,Exams
Question paper difficulty level is inconsistent with class assessments,Exams
Exam schedule is announced very late causing poor preparation,Exams
Marking scheme is unclear and results seem inconsistent,Exams
Invigilators create unnecessary pressure during exam sessions,Exams
Exam papers contain ambiguous questions that confuse students,Exams
Exams are scheduled back to back without sufficient break,Exams
Exam syllabus is not clearly communicated beforehand,Exams
Marks are not uploaded on time after examinations,Exams
Exam seating arrangement is poorly organized,Exams
Question paper has repeated questions reducing fairness,Exams
Exam pattern differs significantly from previous assessments,Exams
Invigilators do not address student queries during exams,Exams
Exam timetable clashes with other departmental assessments,Exams
Marking appears subjective for descriptive answers,Exams
Exam hall environment is noisy and distracting,Exams
Question paper contains printing errors,Exams
Exam dates are changed without adequate notice,Exams
Invigilators are not properly trained for exam supervision,Exams
Exam papers lack clear instructions for sections,Exams
Evaluation process takes too long delaying results,Exams
Exam questions focus on rote learning rather than understanding,Exams
Invigilators allow unfair assistance to some students,Exams
Exam hall seating is uncomfortable for long durations,Exams
Exam syllabus coverage is uneven across subjects,Exams
Exam results are not reviewed despite valid student appeals,Exams
Question paper format is confusing for first time students,Exams
Exam difficulty varies significantly between sections,Exams
Invigilators do not manage time announcements properly,Exams
Exam marking lacks transparency,Exams
Exam schedule overlaps with important project deadlines,Exams
Question papers are not aligned with provided study guides,Exams
Exam halls lack proper lighting,Exams
Exam paper language is unnecessarily complex,Exams
Invigilators interrupt students frequently during exams,Exams
Exam seating plan is not displayed clearly,Exams
Exam instructions are verbally inconsistent,Exams
Exam papers include excessive lengthy questions,Exams
Exam marking delays affect academic planning,Exams
Invigilators fail to control noise levels,Exams
Exam dates conflict with official holidays,Exams
Question papers do not specify marking distribution,Exams
Exam halls lack proper ventilation,Exams
Exam pattern changes without prior notification,Exams
Invigilators are rude towards students,Exams
Exam results contain calculation errors,Exams
Exam papers are not moderated properly,Exams
Exam hall capacity is insufficient for enrolled students,Exams
Exam questions are poorly worded,Exams
Invigilators do not follow standard procedures,Exams
Exam schedule does not consider student workload,Exams
Exam papers are too lengthy for allotted time,Exams
Exam marking criteria is not shared,Exams
Exam halls are overcrowded,Exams
Invigilators do not provide extra answer sheets timely,Exams
Exam syllabus includes irrelevant topics,Exams
Exam dates are announced during ongoing lectures,Exams
Exam papers lack balance between theory and application,Exams
Invigilators arrive late to exam halls,Exams
Exam marking is delayed without explanation,Exams
Exam hall seating causes visibility issues,Exams
Exam questions repeat from previous papers excessively,Exams
Exam instructions are missing important details,Exams
Exam schedule is changed multiple times,Exams
Exam halls lack proper desks,Exams
Invigilators do not check student identity properly,Exams
Exam questions do not test learning outcomes,Exams
Exam results are uploaded with errors,Exams
Exam halls are too cold affecting concentration,Exams
Exam marking does not reflect student performance,Exams
Exam papers are not distributed on time,Exams
Invigilators do not coordinate well,Exams
Exam syllabus boundaries are unclear,Exams
Exam papers include out of syllabus questions,Exams
Exam marking lacks consistency across sections,Exams
Exam hall acoustics make announcements unclear,Exams
Exam papers have uneven difficulty distribution,Exams
Invigilators do not follow seating plans,Exams
Exam result publication is excessively delayed,Exams
Exam instructions contradict themselves,Exams
Exam halls lack proper cleanliness,Exams
Exam marking does not consider partial credit,Exams
Classroom air conditioning does not function properly during hot weather,Facilities
WiFi connectivity is very weak inside most classrooms,Facilities
Classroom seating is broken and uncomfortable for long lectures,Facilities
Library lacks sufficient seating during peak study hours,Facilities
Campus cleanliness is poorly maintained in common areas,Facilities
Classroom lighting is insufficient affecting visibility,Facilities
Power outages frequently interrupt classes,Facilities
Library books are outdated and limited in number,Facilities
Classroom projectors often malfunction during lectures,Facilities
WiFi access is unreliable in academic buildings,Facilities
Restroom facilities are not cleaned regularly,Facilities
Classroom sound systems do not work properly,Facilities
Library staff is insufficient during busy hours,Facilities
Classroom ventilation is poor causing discomfort,Facilities
Campus water supply is inconsistent,Facilities
Library internet access is very slow,Facilities
Classroom temperature control is not adjustable,Facilities
Campus seating areas are insufficient,Facilities
Library study rooms are not well maintained,Facilities
Classroom desks are too small for laptops,Facilities
Campus cleanliness declines after events,Facilities
WiFi login process is complicated and unreliable,Facilities
Library opening hours are too limited,Facilities
Classroom walls have distracting noise from outside,Facilities
Campus lighting is inadequate at night,Facilities
Library computer systems are outdated,Facilities
Classroom whiteboards are damaged,Facilities
Campus waste management is inefficient,Facilities
WiFi coverage does not reach all floors,Facilities
Library air conditioning is inconsistent,Facilities
Classroom chairs are uneven and unstable,Facilities
Campus power backup is insufficient,Facilities
Library lacks quiet study zones,Facilities
Classroom acoustics make lectures hard to hear,Facilities
Campus pathways are poorly maintained,Facilities
WiFi disconnects frequently during classes,Facilities
Library resources are poorly organized,Facilities
Classroom windows do not open properly,Facilities
Campus security lighting is insufficient,Facilities
Library lacks charging points,Facilities
Classroom cleanliness is neglected,Facilities
Campus drinking water stations are limited,Facilities
WiFi speed drops during peak hours,Facilities
Library furniture is uncomfortable,Facilities
Classroom doors create noise disturbances,Facilities
Campus maintenance requests are delayed,Facilities
Library catalog system is outdated,Facilities
Classroom air quality feels poor,Facilities
Campus rest areas are overcrowded,Facilities
WiFi password changes without notice,Facilities
Library study tables are damaged,Facilities
Classroom power sockets do not work,Facilities
Campus internet downtime is frequent,Facilities
Library lacks recent academic journals,Facilities
Classroom floors are uneven,Facilities
Campus cleaning schedule is irregular,Facilities
WiFi does not support online exams well,Facilities
Library noise levels are poorly controlled,Facilities
Classroom fans do not work,Facilities
Campus parking facilities are insufficient,Facilities
Library signage is unclear,Facilities
Classroom lighting flickers frequently,Facilities
Campus elevators malfunction often,Facilities
WiFi authentication fails repeatedly,Facilities
Library seating arrangement is cramped,Facilities
Classroom walls have peeling paint,Facilities
Campus maintenance staff response is slow,Facilities
Library reading areas lack proper lighting,Facilities
Classroom ventilation fans are noisy,Facilities
Campus pathways lack proper lighting,Facilities
WiFi signal strength varies widely,Facilities
Library desks are overcrowded,Facilities
Classroom curtains are damaged,Facilities
Campus sanitation facilities are inadequate,Facilities
WiFi bandwidth is insufficient for classes,Facilities
Library books are not properly cataloged,Facilities
Classroom ceiling fans wobble dangerously,Facilities
Campus water coolers often malfunction,Facilities
WiFi access points are limited,Facilities
Library study environment is distracting,Facilities
Classroom furniture arrangement is poor,Facilities
Campus common areas are not cleaned daily,Facilities
WiFi outages occur during lectures,Facilities
Library maintenance issues remain unresolved,Facilities
Classroom lighting causes glare on screens,Facilities
Campus infrastructure needs urgent upgrades,Facilities
Registration process is confusing and lacks clear guidance,Other
LMS frequently crashes during assignment submissions,Other
Administrative staff is unresponsive to student inquiries,Other
Course registration deadlines are communicated very late,Other
LMS interface is difficult to navigate,Other
Student services office has long waiting times,Other
Career guidance support is insufficient for final year students,Other
Administrative procedures are unnecessarily complicated,Other
LMS does not display grades correctly,Other
Project approval process is very slow,Other
Student portal frequently shows incorrect information,Other
Administrative staff provides inconsistent information,Other
LMS notifications are delayed or missing,Other
Registration system experiences frequent technical errors,Other
Career counseling sessions are rarely scheduled,Other
Administrative offices close earlier than announced,Other
LMS lacks proper mobile support,Other
Project guidelines are unclear and incomplete,Other
Student services staff behaves unprofessionally,Other
Registration fee payment process is unclear,Other
LMS login issues occur frequently,Other
Administrative approvals take too long,Other
Career placement support is limited,Other
Student grievance system is ineffective,Other
Registration forms contain errors,Other
LMS content is not updated regularly,Other
Administrative staff does not follow timelines,Other
Project evaluation criteria is not shared,Other
Student services counters are understaffed,Other
Registration system does not save progress,Other
LMS lacks proper help resources,Other
Administrative communication is unclear,Other
Career fairs are poorly organized,Other
Student portal downtime affects services,Other
Registration instructions are confusing,Other
LMS uploads fail without explanation,Other
Administrative staff avoids responsibility,Other
Project submission deadlines change frequently,Other
Student services response time is slow,Other
Registration confirmation emails are delayed,Other
LMS navigation is unintuitive,Other
Administrative helpdesk is difficult to reach,Other
Career guidance materials are outdated,Other
Student portal password reset fails often,Other
Registration system lacks error messages,Other
LMS does not support group submissions,Other
Administrative staff lacks proper training,Other
Project supervision meetings are irregular,Other
Student services lack clear procedures,Other
Registration process requires repeated visits,Other
LMS performance slows during peak usage,Other
Administrative announcements are inconsistent,Other
Career guidance sessions lack personalization,Other
Student portal shows outdated schedules,Other
Registration system times out frequently,Other
LMS does not archive old courses,Other
Administrative offices are poorly coordinated,Other
Project topic approval takes excessive time,Other
Student services information is outdated,Other
Registration support is unavailable during deadlines,Other
LMS error messages are unclear,Other
Administrative staff misplaces documents,Other
Career guidance lacks industry relevance,Other
Student portal search function is ineffective,Other
Registration system lacks user support,Other
LMS does not notify submission confirmation,Other
Administrative response to emails is delayed,Other
Project assessment feedback is minimal,Other
Student services counters lack clear signage,Other
Registration website crashes frequently,Other
LMS accessibility features are limited,Other
Administrative staff changes policies without notice,Other
Career counseling availability is limited,Other
Student portal interface is outdated,Other
Registration process lacks transparency,Other
LMS content organization is poor,Other
Administrative workflow causes delays,Other
Project coordination between departments is weak,Other
Student services are poorly communicated,Other
Registration helpdesk does not respond promptly,Other
